ID,NAME,SLUG,NAME_LOWER,RARITY,TYPE,ATTUNEMENT,NOTES,SOURCE,URL,SOURCE_SHORT
4568,Amulet of Health,amulet-of-health,amulet of health,Rare,Wondrous Item,Required,"Set: Constitution Score, Buff, Jewelry",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4568-amulet-of-health,xdmg
4569,Amulet of Proof against Detection and Location,amulet-of-proof-against-detection-and-location,amulet of proof against detection and location,Uncommon,Wondrous Item,Required,"Deception, Jewelry",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4569-amulet-of-proof-against-detection-and-location,xdmg
4570,Amulet of the Planes,amulet-of-the-planes,amulet of the planes,Very Rare,Wondrous Item,Required,"Teleportation, Exploration, Jewelry",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4570-amulet-of-the-planes,xdmg
4571,Animated Shield,animated-shield,animated shield,Very Rare,Armor,Required,"Utility, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4571-animated-shield,xdmg
4572,Apparatus of the Crab,apparatus-of-the-crab,apparatus of the crab,Legendary,Wondrous Item,,"Utility, Exploration, Combat",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4572-apparatus-of-the-crab,xdmg
4574,Armor of Invulnerability,armor-of-invulnerability,armor of invulnerability,Legendary,Armor,Required,"Resistance: Bludgeoning, Piercing, and Slashing from Nonmagical Attacks, Immunity: Bludgeoning, Piercing, and Slashing from Nonmagical Weapons, Combat, Warding, Str. 15 Required, Stealth Disadvantage",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4574-armor-of-invulnerability,xdmg
4577,Arrow-Catching Shield,arrow-catching-shield,arrow-catching shield,Rare,Armor,Required,"Combat, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4577-arrow-catching-shield,xdmg
4578,Arrow of Slaying,arrow-of-slaying,arrow of slaying,Very Rare,Weapon,,"Damage: Piercing, Damage, Combat, Bane",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4578-arrow-of-slaying,dmg
4579,Bag of Beans,bag-of-beans,bag of beans,Rare,Wondrous Item,,"Damage, Control, Utility, Combat",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4579-bag-of-beans,xdmg
4580,Bag of Devouring,bag-of-devouring,bag of devouring,Very Rare,Wondrous Item,,"Control, Utility, Combat, Container",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4580-bag-of-devouring,xdmg
