ID,NAME,NAME_LOWER,LEVEL,CASTING_TIME,RANGE,AREA,AREA_SHAPE,COMPONENTS,MATERIAL_COMPONENTS,DURATION,SCHOOL,ATTACK_SAVE,DAMAGE_EFFECT,CLASSES,SOURCE,URL,SOURCE_SHORT,SLUG
1183864,Fizban's Platinum Shield,fizban's platinum shield,6th,1 Bonus Action,60 ft.,,,"V, S, M",,1 Minute,Abjuration,,Warding,[],,https://www.dndbeyond.com/spells/1183864-fizbans-platinum-shield,ftd,fizbans-platinum-shield
2119578,Gate Seal,gate seal,4th,1 Minute,60 ft.,30 ft.,cube,"V, S, M",,24 Hours,Abjuration,,Control (...),[],,https://www.dndbeyond.com/spells/2119578-gate-seal,sato,gate-seal
718549,Intellect Fortress,intellect fortress,3rd,1 Action,30 ft.,,,V,,1 Hour,Abjuration,,Buff,[],,https://www.dndbeyond.com/spells/718549-intellect-fortress,tce,intellect-fortress
2368,Absorb Elements,absorb elements,1st,1 Reaction *,Self,,,S,,1 Round,Abjuration,,Acid (...),"[""ARTIFICER"", ""DRUID"", ""RANGER"", ""SORCERER"", ""WIZARD"", ""DRUID (LEGACY)"", ""RANGER (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2368-absorb-elements,xge,absorb-elements
14760,Ceremony,ceremony,1st,1 Hour,Touch,,,"V, S, M",,Instantaneous,Abjuration,,Buff (...),[],,https://www.dndbeyond.com/spells/14760-ceremony,xge,ceremony
14834,Druid Grove,druid grove,6th,10 Minutes,Touch,*,cube,"V, S, M",,24 Hours,Abjuration,,Debuff (...),[],,https://www.dndbeyond.com/spells/14834-druid-grove,xge,druid-grove
14879,Invulnerability,invulnerability,9th,1 Action,Self,,,"V, S, M",,10 Minutes,Abjuration,,Warding,[],,https://www.dndbeyond.com/spells/14879-invulnerability,xge,invulnerability
2395,Primordial Ward,primordial ward,6th,1 Action,Self,,,"V, S",,1 Minute,Abjuration,,Warding,"[""DRUID"", ""DRUID (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2395-primordial-ward,xge,primordial-ward
14600,Snare,snare,1st,1 Minute,Touch,,,"S, M",,8 Hours,Abjuration,DEX Save,Restrained,[],,https://www.dndbeyond.com/spells/14600-snare,xge,snare
2618845,Aid,aid,2nd,1 Action,30 ft.,,,"V, S, M",a strip of white cloth,8 Hours,Abjuration,,Buff,"[""ARTIFICER"", ""BARD"", ""CLERIC"", ""DRUID"", ""PALADIN"", ""RANGER"", ""LIFE DOMAIN"", ""PEACE DOMAIN (TCOE)"", ""OATH OF DEVOTION"", ""CLOCKWORK SORCERY"", ""CELESTIAL PATRON"", ""CRIMSON SORCERY"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""PALADIN (LEGACY)"", ""RANGER (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618845-aid,xphb,aid
2619222,Alarm,alarm,1st,1 Minute,30 ft.,20 ft.,cube,"V, S, M",a bell and silver wire,8 Hours,Abjuration,,Detection,"[""ARTIFICER"", ""RANGER"", ""WIZARD"", ""OATH OF THE WATCHERS (TCOE)"", ""CLOCKWORK SORCERY"", ""RANGER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619222-alarm,xphb,alarm
2618856,Antilife Shell,antilife shell,5th,1 Action,Self,10 ft. *,emanation,"V, S",,1 Hour,Abjuration,,Control (...),"[""DRUID"", ""GRAVE DOMAIN (XGTE)"", ""DEATH DOMAIN (DMG)"", ""THE UNDEAD (VRGTR)"", ""DRUID (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618856-antilife-shell,xphb,antilife-shell
2618860,Antimagic Field,antimagic field,8th,1 Action,Self,10 ft.,emanation,"V, S, M",iron filings,1 Hour,Abjuration,,Control (...),"[""CLERIC"", ""WIZARD"", ""CLERIC (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618860-antimagic-field,xphb,antimagic-field
2618868,Arcane Lock,arcane lock,2nd,1 Action,Touch,,,"V, S, M","gold dust worth 25+ GP, which the spell consumes",Until Dispelled,Abjuration,,Utility (...),"[""ARTIFICER"", ""WIZARD"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618868-arcane-lock,xphb,arcane-lock
