ID,NAME,RARITY,TYPE,ATTUNEMENT,NOTES,SOURCE,URL
2188377,Abracadabrus,Very Rare,Wondrous Item,,"Utility, Container",Icewind Dale: Rime of the Frostmaiden,https://www.dndbeyond.com/magic-items/2188377-abracadabrus
2400459,Absorbing Tattoo,Very Rare,Wondrous Item,Required,,Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2400459-absorbing-tattoo
5370,Adamantine Armor,Uncommon,Armor,,"Immunity: Critical Hits, Combat, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5370-adamantine-armor
9228341,Adamantine Weapon,Uncommon,Weapon,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228341-adamantine-weapon
7102405,Adze of Annam,Artifact,Weapon,Required,"Bonus: Magic, Damage: Force, Heavy, Two-Handed, Cleave",Bigby Presents: Glory of the Giants,https://www.dndbeyond.com/magic-items/7102405-adze-of-annam
1752516,"Akmon, Hammer of Purphoros",Artifact,Weapon,Required,"Immunity: Exhaustion, Resistance: Fire, Bonus: Magic, Damage: Fire, Proficiency: Smith's Tools, Versatile, Push",Mythic Odysseys of Theros,https://www.dndbeyond.com/magic-items/1752516-akmon-hammer-of-purphoros
2400596,Alchemical Compendium,Rare,Wondrous Item,Required,wizard,Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2400596-alchemical-compendium
9228343,Alchemy Jug,Uncommon,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228343-alchemy-jug
5346,Alchemy Jug,Uncommon,Wondrous Item,,Utility,Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5346-alchemy-jug
3001253,Alchemy Jug (Blue),Uncommon,Wondrous Item,,Utility,Candlekeep Mysteries,https://www.dndbeyond.com/magic-items/3001253-alchemy-jug-blue
3001254,Alchemy Jug (Orange),Uncommon,Wondrous Item,,Utility,Candlekeep Mysteries,https://www.dndbeyond.com/magic-items/3001254-alchemy-jug-orange
2400634,All-Purpose Tool,Varies,Wondrous Item,Required,"Bonus: Spell Attacks, Bonus: Spell Save DC, artificer",Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2400634-all-purpose-tool
4047183,Amethyst Lodestone,Very Rare,Wondrous Item,Required,"Advantage: Strength Saving Throws, Set: Innate Speed (Flying)",Fizban's Treasury of Dragons,https://www.dndbeyond.com/magic-items/4047183-amethyst-lodestone
9228344,Ammunition of Slaying,Very Rare,Weapon,,Damage: Force,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228344-ammunition-of-slaying
5407,"Ammunition, +1",Uncommon,Weapon,,"Bonus: Magic, Damage",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5407-ammunition-1
5410,"Ammunition, +2",Rare,Weapon,,"Bonus: Magic, Damage",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5410-ammunition-2
5411,"Ammunition, +3",Very Rare,Weapon,,"Bonus: Magic, Damage",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5411-ammunition-3
4568,Amulet of Health,Rare,Wondrous Item,Required,"Set: Constitution Score, Buff, Jewelry",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4568-amulet-of-health
