ID,NAME,CR,TYPE,SIZE,ALIGNMENT,HABITAT,SOURCE,URL
582125,"""The Demogorgon""",8,Giant,Large,Chaotic Neutral,,Infernal Machine Rebuild,https://www.dndbeyond.com/monsters/582125-the-demogorgon
17100,Aarakocra,1/4,Humanoid (Aarakocra),Medium,Neutral Good,Mountain,Monster Manual (2014),https://www.dndbeyond.com/monsters/17100-aarakocra
5194864,Aarakocra Aeromancer,4,Elemental,Medium,Neutral,"Mountain, Planar (Elemental Plane of Air)",Monster Manual,https://www.dndbeyond.com/monsters/5194864-aarakocra-aeromancer
300122,Aarakocra Simulacrum,1/8,Humanoid (Aarakocra),Medium,Neutral Good,Mountain,Storm King'S Thunder,https://www.dndbeyond.com/monsters/300122-aarakocra-simulacrum
5194865,Aarakocra Skirmisher,1/4,Elemental,Medium,Neutral,"Mountain, Planar (Elemental Plane of Air)",Monster Manual,https://www.dndbeyond.com/monsters/5194865-aarakocra-skirmisher
2821140,Aarakocra Spelljammer,6,Humanoid (Aarakocra),Medium,Any Alignment,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821140-aarakocra-spelljammer
2821141,Aartuk Elder,3,Plant,Large,Typically Lawful Evil,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821141-aartuk-elder
2821142,Aartuk Starhorror,2,Plant,Medium,Typically Lawful Evil,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821142-aartuk-starhorror
2821143,Aartuk Weedling,2,Plant,Medium,Typically Lawful Evil,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821143-aartuk-weedling
5194866,Aberrant Cultist,8,Humanoid,Medium or Small,Neutral Evil,Any,Monster Manual,https://www.dndbeyond.com/monsters/5194866-aberrant-cultist
3805736,Aberrant Zealot,8,Aberration,Medium,Typically Chaotic Evil,,Phandelver And Below: The Shattered Obelisk,https://www.dndbeyond.com/monsters/3805736-aberrant-zealot
3805735,Aberrant Zealot (Variant),8,Aberration,Medium,Typically Chaotic Evil,,Phandelver And Below: The Shattered Obelisk,https://www.dndbeyond.com/monsters/3805735-aberrant-zealot-variant
909467,Abhorrent Overlord,9,Fiend,Large,Lawful Evil,,Mythic Odysseys Of Theros,https://www.dndbeyond.com/monsters/909467-abhorrent-overlord
17324,Abjurer,9,Humanoid (Any Race),Medium,Any Alignment,Urban,Volo'S Guide To Monsters,https://www.dndbeyond.com/monsters/17324-abjurer
2560712,Abjurer Wizard,9,Humanoid,Medium,Any Alignment,Urban,Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560712-abjurer-wizard
5194867,Aboleth,10,Aberration,Large,Lawful Evil,"Underdark, Underwater",Monster Manual,https://www.dndbeyond.com/monsters/5194867-aboleth
16762,Aboleth,10,Aberration,Large,Lawful Evil,Underdark,Basic Rules (2014),https://www.dndbeyond.com/monsters/16762-aboleth
5194868,Abominable Yeti,9,Monstrosity,Huge,Chaotic Evil,Arctic,Monster Manual,https://www.dndbeyond.com/monsters/5194868-abominable-yeti
17105,Abominable Yeti,9,Monstrosity,Huge,Chaotic Evil,Arctic,Monster Manual (2014),https://www.dndbeyond.com/monsters/17105-abominable-yeti
416909,Abyssal Chicken,1/4,Fiend (Demon),Tiny,Chaotic Evil,,Baldur’S Gate: Descent Into Avernus,https://www.dndbeyond.com/monsters/416909-abyssal-chicken
94277,Abyssal Wretch,1/4,Fiend (Demon),Medium,Chaotic Evil,,Mordenkainen’S Tome Of Foes,https://www.dndbeyond.com/monsters/94277-abyssal-wretch
32961,Acererak,23,Undead,Medium,Neutral Evil,,Tomb Of Annihilation,https://www.dndbeyond.com/monsters/32961-acererak
3731076,Acidic Mist Apparition,5,Elemental,Large,Neutral,,Giants Of The Star Forge,https://www.dndbeyond.com/monsters/3731076-acidic-mist-apparition
16763,Acolyte,1/4,Humanoid (Any Race),Medium,Any Alignment,Urban,Basic Rules (2014),https://www.dndbeyond.com/monsters/16763-acolyte
2059682,Adult Amethyst Dragon,16,Dragon (Gem),Huge,Typically Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059682-adult-amethyst-dragon
5194869,Adult Black Dragon,14,Dragon (Chromatic),Huge,Chaotic Evil,Swamp,Monster Manual,https://www.dndbeyond.com/monsters/5194869-adult-black-dragon
16764,Adult Black Dragon,14,Dragon,Huge,Chaotic Evil,Swamp,Basic Rules (2014),https://www.dndbeyond.com/monsters/16764-adult-black-dragon
17106,Adult Blue Dracolich,17,Undead,Huge,Lawful Evil,Desert,Monster Manual (2014),https://www.dndbeyond.com/monsters/17106-adult-blue-dracolich
5194870,Adult Blue Dragon,16,Dragon (Chromatic),Huge,Lawful Evil,"Coastal, Desert",Monster Manual,https://www.dndbeyond.com/monsters/5194870-adult-blue-dragon
16765,Adult Blue Dragon,16,Dragon,Huge,Lawful Evil,"Coastal, Desert",Basic Rules (2014),https://www.dndbeyond.com/monsters/16765-adult-blue-dragon
5194871,Adult Brass Dragon,13,Dragon (Metallic),Huge,Chaotic Good,Desert,Monster Manual,https://www.dndbeyond.com/monsters/5194871-adult-brass-dragon
16766,Adult Brass Dragon,13,Dragon,Huge,Chaotic Good,Desert,Basic Rules (2014),https://www.dndbeyond.com/monsters/16766-adult-brass-dragon
5198155,Adult Bronze Dragon,15,Dragon (Metallic),Huge,Lawful Good,Coastal,Monster Manual,https://www.dndbeyond.com/monsters/5198155-adult-bronze-dragon
16767,Adult Bronze Dragon,15,Dragon,Huge,Lawful Good,Coastal,Basic Rules (2014),https://www.dndbeyond.com/monsters/16767-adult-bronze-dragon
5194872,Adult Copper Dragon,14,Dragon (Metallic),Huge,Chaotic Good,Hill,Monster Manual,https://www.dndbeyond.com/monsters/5194872-adult-copper-dragon
16768,Adult Copper Dragon,14,Dragon,Huge,Chaotic Good,Hill,Basic Rules (2014),https://www.dndbeyond.com/monsters/16768-adult-copper-dragon
2059683,Adult Crystal Dragon,12,Dragon (Gem),Huge,Typically Chaotic Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059683-adult-crystal-dragon
2059684,Adult Deep Dragon,11,Dragon,Huge,Typically Neutral Evil,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059684-adult-deep-dragon
2059685,Adult Emerald Dragon,14,Dragon (Gem),Huge,Typically Lawful Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059685-adult-emerald-dragon
5194873,Adult Gold Dragon,17,Dragon (Metallic),Huge,Lawful Good,"Forest, Grassland",Monster Manual,https://www.dndbeyond.com/monsters/5194873-adult-gold-dragon
16769,Adult Gold Dragon,17,Dragon,Huge,Lawful Good,"Forest, Grassland",Basic Rules (2014),https://www.dndbeyond.com/monsters/16769-adult-gold-dragon
5194874,Adult Green Dragon,15,Dragon (Chromatic),Huge,Lawful Evil,Forest,Monster Manual,https://www.dndbeyond.com/monsters/5194874-adult-green-dragon
16770,Adult Green Dragon,15,Dragon,Huge,Lawful Evil,Forest,Basic Rules (2014),https://www.dndbeyond.com/monsters/16770-adult-green-dragon
