ID,NAME,RARITY,TYPE,ATTUNEMENT,NOTES,SOURCE,URL,SOURCE_SHORT
2188377,Abracadabrus,Very Rare,Wondrous Item,,"Utility, Container",Icewind Dale: Rime of the Frostmaiden,https://www.dndbeyond.com/magic-items/2188377-abracadabrus,idrotf
2400459,Absorbing Tattoo,Very Rare,Wondrous Item,Required,,Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2400459-absorbing-tattoo,tce
5370,Adamantine Armor,Uncommon,Armor,,"Immunity: Critical Hits, Combat, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5370-adamantine-armor,xdmg
9228341,Adamantine Weapon,Uncommon,Weapon,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228341-adamantine-weapon,xdmg
7102405,Adze of Annam,Artifact,Weapon,Required,"Bonus: Magic, Damage: Force, Heavy, Two-Handed, Cleave",Bigby Presents: Glory of the Giants,https://www.dndbeyond.com/magic-items/7102405-adze-of-annam,bgg
1752516,"Akmon, Hammer of Purphoros",Artifact,Weapon,Required,"Immunity: Exhaustion, Resistance: Fire, Bonus: Magic, Damage: Fire, Proficiency: Smith's Tools, Versatile, Push",Mythic Odysseys of Theros,https://www.dndbeyond.com/magic-items/1752516-akmon-hammer-of-purphoros,
2400596,Alchemical Compendium,Rare,Wondrous Item,Required,wizard,Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2400596-alchemical-compendium,tce
9228343,Alchemy Jug,Uncommon,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228343-alchemy-jug,xdmg
5346,Alchemy Jug,Uncommon,Wondrous Item,,Utility,Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5346-alchemy-jug,xdmg
3001253,Alchemy Jug (Blue),Uncommon,Wondrous Item,,Utility,Candlekeep Mysteries,https://www.dndbeyond.com/magic-items/3001253-alchemy-jug-blue,cm
3001254,Alchemy Jug (Orange),Uncommon,Wondrous Item,,Utility,Candlekeep Mysteries,https://www.dndbeyond.com/magic-items/3001254-alchemy-jug-orange,cm
2400634,All-Purpose Tool,Varies,Wondrous Item,Required,"Bonus: Spell Attacks, Bonus: Spell Save DC, artificer",Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2400634-all-purpose-tool,
4047183,Amethyst Lodestone,Very Rare,Wondrous Item,Required,"Advantage: Strength Saving Throws, Set: Innate Speed (Flying)",Fizban's Treasury of Dragons,https://www.dndbeyond.com/magic-items/4047183-amethyst-lodestone,ftd
9228344,Ammunition of Slaying,Very Rare,Weapon,,Damage: Force,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228344-ammunition-of-slaying,xdmg
5407,"Ammunition, +1",Uncommon,Weapon,,"Bonus: Magic, Damage",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5407-ammunition-1,
5410,"Ammunition, +2",Rare,Weapon,,"Bonus: Magic, Damage",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5410-ammunition-2,
5411,"Ammunition, +3",Very Rare,Weapon,,"Bonus: Magic, Damage",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5411-ammunition-3,
4568,Amulet of Health,Rare,Wondrous Item,Required,"Set: Constitution Score, Buff, Jewelry",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4568-amulet-of-health,xdmg
4569,Amulet of Proof against Detection and Location,Uncommon,Wondrous Item,Required,"Deception, Jewelry",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4569-amulet-of-proof-against-detection-and-location,xdmg
9288,Amulet of Protection from Turning,Rare,Wondrous Item,Required,"Advantage: Saving Throws, Buff, Warding",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9288-amulet-of-protection-from-turning,tftyp
21712,Amulet of the Black Skull,Very Rare,Wondrous Item,Required,"Teleportation, Bane",Tomb of Annihilation,https://www.dndbeyond.com/magic-items/21712-amulet-of-the-black-skull,toa
2411830,Amulet of the Devout,Varies,Wondrous Item,Required,"Bonus: Spell Attacks, Bonus: Spell Save DC, cleric or paladin",Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2411830-amulet-of-the-devout,
9228345,Amulet of the Planes,Very Rare,Wondrous Item,Required,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228345-amulet-of-the-planes,xdmg
4570,Amulet of the Planes,Very Rare,Wondrous Item,Required,"Teleportation, Exploration, Jewelry",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4570-amulet-of-the-planes,xdmg
4571,Animated Shield,Very Rare,Armor,Required,"Utility, Warding",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/4571-animated-shield,xdmg
7526578,Antimagic Armor,Very Rare,Armor,Required,"Advantage: Saving Throws, Control, Negation, Warding",The Book of Many Things,https://www.dndbeyond.com/magic-items/7526578-antimagic-armor,bmt
9228348,Apparatus of Kwalish,Legendary,Wondrous Item,,"Immunity: Poison, Immunity: Psychic",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/9228348-apparatus-of-kwalish,xdmg
5344,Apparatus of Kwalish,Legendary,Wondrous Item,,"Utility, Exploration, Combat",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5344-apparatus-of-kwalish,xdmg
4572,Apparatus of the Crab,Legendary,Wondrous Item,,"Utility, Exploration, Combat",Basic Rules (2014),https://www.dndbeyond.com/magic-items/4572-apparatus-of-the-crab,
2411893,Arcane Grimoire,Varies,Wondrous Item,Required,"Bonus: Spell Attacks, Bonus: Spell Save DC, wizard",Tasha’s Cauldron of Everything,https://www.dndbeyond.com/magic-items/2411893-arcane-grimoire,
976932,Arcane Propulsion Arm,Very Rare,Wondrous Item,Required,creature missing a hand or an arm,Eberron: Rising from the Last War,https://www.dndbeyond.com/magic-items/976932-arcane-propulsion-arm,erlw
215692,Armblade,Common,Weapon,Required,"Warforged, Damage, Combat, Light, Slow",Wayfinder's Guide to Eberron,https://www.dndbeyond.com/magic-items/215692-armblade,erlw
